id;term_greek_transliterated;translation_eng;from;term_greek;hisco_major;harris_sector
1;ἀγαλματοποιός;statue-maker;lewis;agalmatopoiós;1;Plastic Arts
2;ἀγγειουργός;jar-maker;harris;angeiourgós;8;Household Goods
3;ἀγγειουργός;maker of metal jars;lewis;angeiourgós;8;Metal-Working
4;αἰπόλος;goatherd;lewis;aipólos;6;Food-Production
5;ἀκέστρια;seamstress;lewis;akéstria;7;Clothing
6;ἀλείπτρια;masseuse;harris;aleíptria;0;Miscellaneous Services
7;ἁλιεύς;fisherman;lewis;halieús;6;Food-Production
8;ἀλλαντοποιός;sausage-maker;lewis;allantopoiós;7;Food-Production
9;ἀλλαντοπώλης;sausage-seller;lewis;allantopṓlēs;4;Food-Retail
10;ἁλόπολις;salt-seller;lewis;halópolis;4;Food-Retail
11;ἀλφιταμοιβός;barley-dealer;lewis;alphitamoibós;4;Food-Retail
12;ἀλφιτοπώλης;barley-dealer;lewis;alphitopṓlēs;4;Food-Retail
13;ἁμαξουργός;cartwright;lewis;hamaxourgós;8;Transport
14;ἀμοργαντίνος;wool-worker;lewis;amorgantínos;7;Clothing
15;ἀμπελουργός;vine-dresser;lewis;ampelourgós;6;Food-Production
16;ἀμφορεαποιός;amphora-maker;harris;amphoreapoiós;8;Household Goods
17;ἀμφορεαφόρος;amphora-carrier;harris;amphoreaphóros;9;Miscellaneous Services
18;ἀνδραποδοκάπηλος;slave-dealer;lewis;andrapodokápēlos;4;Retail
19;ἀνδριαντοποιός;statue-maker;lewis;andriantopoiós;1;Plastic Arts
20;ἀνθρακεύς;charcoal-maker;harris;anthrakeús;7;Fuel
21;ἀνθρακοπώλης;charcoal-seller;harris;anthrakopṓlēs;4;Retail
22;ἀργυραμοιβός;money-changer;harris;argyramoibós;3;Finance
23;ἀργυροκόπος;minter;harris;argyrokópos;8;Metal-Working
24;ἀργυροποιός;silver-smith;harris;argyropoiós;8;Metal-Working
25;ἀρτοκόπος;baker;lewis;artokópos;7;Food-Production
26;ἀρτοποιός;baker;lewis;artopoiós;7;Food-Production
27;ἀρτόπολις;bread-seller;harris;artópolis;4;Food-Retail
28;ἀρτοπώλης;bread-seller;lewis;artopṓlēs;4;Food-Retail
29;ἀρχιτέκτων;architect;harris;architéktōn;0;Building
30;ἀσκοποιός;wineskin-maker;harris;askopoiós;8;Household Goods
31;ἀσκοφόρος;wineskin-carrier;harris;askophóros;9;Miscellaneous Services
32;ἀσπιδοπήγος;shield-maker;lewis;aspidopḗgos;8;Miscellaneous Services
33;αὐλητής;flute-player;harris;aulētḗs;1;Performing Arts
34;αὐλήτρις;flute-player;harris;aulḗtris;1;Performing Arts
35;αὐλοποιός;flute-maker;lewis;aulopoiós;9;Plastic Arts
36;αὐλοτρύπης;flute-maker;lewis;aulotrýpēs;9;Plastic Arts
37;βαλανεύς;bathhouse-keeper;harris;balaneús;2;Miscellaneous Services
38;βαφεύς;dyer;lewis;bapheús;7;Clothing
39;βελονοπώλης;needle-seller;harris;belonopṓlēs;4;Retail
40;βιβλιοπώλης;bookseller;lewis;bibliopṓlēs;4;Retail
41;βουκόλος;cowherd;lewis;boukólos;6;Food-Production
42;βουφόρβος;cowherd;lewis;bouphórbos;6;Food-Production
43;βυρσοδέψης;tanner;harris;byrsodépsēs;7;Clothing
44;βυρσοπώλης;leather-seller;lewis;byrsopṓlēs;4;Retail
45;γελγοπώλης;garlic-seller;lewis;gelgopṓlēs;4;Food-Retail
46;γεωμέτρης;surveyor/geometer;harris;geōmétrēs;0;Miscellaneous Services
47;γεωργός;farmer;lewis;geōrgós;6;Food-Production
48;γναφαλλουφάντης;flock-weaver;lewis;gnaphallouphántēs;7;Clothing
49;γναφεύς;fuller;lewis;gnapheús;7;Clothing
50;γραμματεύς;secretary;harris;grammateús;3;Miscellaneous Services
51;γραμματιστής;elementary schoolteacher;harris;grammatistḗs;1;Education
52;γραφεύς;painter;harris;grapheús;1;Plastic Arts
53;δακτυλιογλύφος;gem-engraver;lewis;daktylioglýphos;8;Plastic Arts
54;δακτυλιοποιός;ring-maker;lewis;daktyliopoiós;8;Plastic Arts
55;δακτυλιουργός;ring-maker;lewis;daktyliourgós;8;Plastic Arts
56;δαφνοπώλης;laurel-seller;lewis;daphnopṓlēs;4;Retail
57;δειπνοποιός;caterer;harris;deipnopoiós;5;Miscellaneous Services
58;διδάσκαλος;teacher;harris;didáskalos;1;Education
59;διφθεροπώλης;leather-seller;lewis;diphtheropṓlēs;4;Retail
60;δοιδυκοποιός;pestle-maker;lewis;doidykoopoiós;8;Household Goods
61;δορύξος;spear-maker;lewis;dorýxos;8;Metal-Working
62;δρεπανουργός;sickle-maker;lewis;drepanourgós;8;Metal-Working
63;ἐγκαυτής;encaustic painter;harris;enkautḗs;1;Plastic Arts
64;ἐγκριδοπώλης;honey-cake seller;lewis;enkridopṓlēs;4;Food-Retail
65;ἐλαιοκόμος;olive-tender;lewis;elaiokómos;6;Food-Production
